transcript_id	gene_id	gene_name
ENSDART00000151905	ENSDARG00000096481	si:dkey-16p19.8
ENSDART00000138661	ENSDARG00000001781	tspan11
ENSDART00000193598	ENSDARG00000001781	tspan11
ENSDART00000139754	ENSDARG00000069555	si:dkey-16p19.9
ENSDART00000152038	ENSDARG00000116546	znf987
ENSDART00000150768	ENSDARG00000016979	pmpcb
ENSDART00000026963	ENSDARG00000016979	pmpcb
ENSDART00000150516	ENSDARG00000016979	pmpcb
ENSDART00000150333	ENSDARG00000096114	si:dkey-21h14.16
ENSDART00000164821	ENSDARG00000099595	si:dkeyp-44d3.2
ENSDART00000140906	ENSDARG00000092596	si:dkeyp-44d3.1
ENSDART00000168598	ENSDARG00000100479	si:dkey-43f9.4
ENSDART00000163681	ENSDARG00000100479	si:dkey-43f9.4
ENSDART00000165821	ENSDARG00000100479	si:dkey-43f9.4
ENSDART00000161850	ENSDARG00000103186	si:ch73-389k6.1
ENSDART00000160326	ENSDARG00000103186	si:ch73-389k6.1
ENSDART00000172734	ENSDARG00000103186	si:ch73-389k6.1
ENSDART00000180622	ENSDARG00000103186	si:ch73-389k6.1
ENSDART00000162209	ENSDARG00000103186	si:ch73-389k6.1
ENSDART00000167988	ENSDARG00000103186	si:ch73-389k6.1
ENSDART00000193823	ENSDARG00000103186	si:ch73-389k6.1
ENSDART00000169781	ENSDARG00000098143	si:dkey-57l19.1
ENSDART00000123089	ENSDARG00000070477	dnajc2
ENSDART00000103463	ENSDARG00000070477	dnajc2
ENSDART00000146006	ENSDARG00000087743	si:dkey-156k2.8
ENSDART00000150372	ENSDARG00000094888	znf1061
ENSDART00000167053	ENSDARG00000094888	znf1061
ENSDART00000150365	ENSDARG00000117132	znf1022
ENSDART00000150766	ENSDARG00000106667	si:ch211-208f21.6
ENSDART00000150682	ENSDARG00000106667	si:ch211-208f21.6
ENSDART00000150480	ENSDARG00000110946	znf1110
ENSDART00000066904	ENSDARG00000045490	ndufb2
ENSDART00000146272	ENSDARG00000045490	ndufb2
ENSDART00000155320	ENSDARG00000089860	atxn7l1
ENSDART00000170480	ENSDARG00000101960	si:dkeyp-44d3.3
ENSDART00000153692	ENSDARG00000097073	si:ch73-134b5.6
ENSDART00000058277	ENSDARG00000039843	znf800b
ENSDART00000180124	ENSDARG00000039843	znf800b
ENSDART00000150469	ENSDARG00000093994	znf1058
ENSDART00000133929	ENSDARG00000089159	acot14
ENSDART00000139605	ENSDARG00000089159	acot14
ENSDART00000028297	ENSDARG00000089159	acot14
ENSDART00000157683	ENSDARG00000104064	si:rp71-5o12.3
ENSDART00000165918	ENSDARG00000104064	si:rp71-5o12.3
ENSDART00000182069	ENSDARG00000104064	si:rp71-5o12.3
ENSDART00000159697	ENSDARG00000104064	si:rp71-5o12.3
ENSDART00000128732	ENSDARG00000104064	si:rp71-5o12.3
ENSDART00000189539	ENSDARG00000104064	si:rp71-5o12.3
ENSDART00000150391	ENSDARG00000096037	si:ch211-214j24.14
ENSDART00000150246	ENSDARG00000096222	si:ch211-245n8.4
ENSDART00000150302	ENSDARG00000094034	znf1045
ENSDART00000014440	ENSDARG00000014804	cacna2d1a
ENSDART00000182979	ENSDARG00000014804	cacna2d1a
ENSDART00000105967	ENSDARG00000014804	cacna2d1a
ENSDART00000123801	ENSDARG00000018111	kdm7aa
ENSDART00000002851	ENSDARG00000018111	kdm7aa
ENSDART00000130409	ENSDARG00000018111	kdm7aa
ENSDART00000186258	ENSDARG00000018111	kdm7aa
ENSDART00000150551	ENSDARG00000096218	si:dkey-21h14.17
ENSDART00000164004	ENSDARG00000102370	znf1094
ENSDART00000163135	ENSDARG00000101916	si:dkeyp-44d3.5
ENSDART00000172173	ENSDARG00000101916	si:dkeyp-44d3.5
ENSDART00000182308	ENSDARG00000101916	si:dkeyp-44d3.5
ENSDART00000150707	ENSDARG00000096131	si:ch211-284f7.2
ENSDART00000129983	ENSDARG00000088181	mpped1
ENSDART00000190060	ENSDARG00000088181	mpped1
ENSDART00000192962	ENSDARG00000088181	mpped1
ENSDART00000047929	ENSDARG00000015931	snap91b
ENSDART00000138590	ENSDARG00000015931	snap91b
ENSDART00000150864	ENSDARG00000015931	snap91b
ENSDART00000177099	ENSDARG00000015931	snap91b
ENSDART00000150271	ENSDARG00000094177	si:ch211-208f21.2
ENSDART00000174362	ENSDARG00000102473	zgc:171673
ENSDART00000170520	ENSDARG00000102473	zgc:171673
ENSDART00000137966	ENSDARG00000045850	ccdc167
ENSDART00000144658	ENSDARG00000045850	ccdc167
ENSDART00000188401	ENSDARG00000110696	ENSDARG00000110696
ENSDART00000169303	ENSDARG00000114172	znf996
ENSDART00000140176	ENSDARG00000114172	znf996
ENSDART00000144665	ENSDARG00000094545	si:ch211-284f7.1
ENSDART00000164175	ENSDARG00000103143	si:dkey-19c16.12
ENSDART00000182911	ENSDARG00000103143	si:dkey-19c16.12
ENSDART00000171289	ENSDARG00000101690	si:ch73-158p21.2
ENSDART00000174194	ENSDARG00000101690	si:ch73-158p21.2
ENSDART00000150296	ENSDARG00000077220	si:ch211-208f21.3
ENSDART00000186117	ENSDARG00000077220	si:ch211-208f21.3
ENSDART00000184245	ENSDARG00000077220	si:ch211-208f21.3
ENSDART00000183430	ENSDARG00000077220	si:ch211-208f21.3
ENSDART00000193337	ENSDARG00000077220	si:ch211-208f21.3
ENSDART00000169534	ENSDARG00000103998	si:dkey-47k16.2p
ENSDART00000150374	ENSDARG00000109821	si:dkey-156j15.1
ENSDART00000163799	ENSDARG00000099475	si:ch211-197d11.2
ENSDART00000169153	ENSDARG00000104211	si:dkey-47k16.1
ENSDART00000162161	ENSDARG00000103229	si:dkey-265e15.5
ENSDART00000166400	ENSDARG00000103229	si:dkey-265e15.5
ENSDART00000099538	ENSDARG00000103229	si:dkey-265e15.5
ENSDART00000166742	ENSDARG00000099561	si:dkeyp-44d3.6
ENSDART00000167263	ENSDARG00000098071	znf1049
ENSDART00000138165	ENSDARG00000113626	znf976
ENSDART00000193109	ENSDARG00000113626	znf976
ENSDART00000159931	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000192721	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000161639	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000182491	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000187359	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000190758	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000187481	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000180890	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000183986	ENSDARG00000100061	si:ch211-154k18.1
ENSDART00000174356	ENSDARG00000101030	mhc2d4b
ENSDART00000174313	ENSDARG00000101030	mhc2d4b
ENSDART00000168831	ENSDARG00000101030	mhc2d4b
ENSDART00000126634	ENSDARG00000102316	si:dkey-237m9.2
ENSDART00000153944	ENSDARG00000077654	grm8a
ENSDART00000109044	ENSDARG00000077654	grm8a
ENSDART00000162616	ENSDARG00000102098	si:dkey-197m7.1
ENSDART00000150560	ENSDARG00000114894	znf1026
ENSDART00000193247	ENSDARG00000114894	znf1026
ENSDART00000168584	ENSDARG00000114894	znf1026
ENSDART00000185716	ENSDARG00000114894	znf1026
ENSDART00000168119	ENSDARG00000114894	znf1026
ENSDART00000130293	ENSDARG00000114894	znf1026
ENSDART00000162333	ENSDARG00000114894	znf1026
ENSDART00000163399	ENSDARG00000102837	znf1145
ENSDART00000172420	ENSDARG00000102542	si:ch211-268b14.2
ENSDART00000171428	ENSDARG00000102542	si:ch211-268b14.2
ENSDART00000134280	ENSDARG00000057983	svopl
ENSDART00000150664	ENSDARG00000057983	svopl
ENSDART00000080744	ENSDARG00000057983	svopl
ENSDART00000150589	ENSDARG00000057983	svopl
ENSDART00000150304	ENSDARG00000057983	svopl
ENSDART00000160196	ENSDARG00000098281	si:dkey-237m9.1
ENSDART00000193544	ENSDARG00000098281	si:dkey-237m9.1
ENSDART00000103659	ENSDARG00000070546	msgn1
ENSDART00000171896	ENSDARG00000102357	si:ch211-268b14.1
ENSDART00000136152	ENSDARG00000045676	calua
ENSDART00000171235	ENSDARG00000045676	calua
ENSDART00000131161	ENSDARG00000034300	sema3c
ENSDART00000133425	ENSDARG00000045522	acot15
ENSDART00000041965	ENSDARG00000045522	acot15
ENSDART00000048675	ENSDARG00000020015	mrps33
ENSDART00000139561	ENSDARG00000020015	mrps33
ENSDART00000174048	ENSDARG00000101675	zgc:123107
ENSDART00000174287	ENSDARG00000101675	zgc:123107
ENSDART00000161866	ENSDARG00000101675	zgc:123107
ENSDART00000168456	ENSDARG00000101675	zgc:123107
ENSDART00000051792	ENSDARG00000019235	sema3aa
ENSDART00000153776	ENSDARG00000063097	scube1
ENSDART00000091876	ENSDARG00000063097	scube1
ENSDART00000164632	ENSDARG00000063097	scube1
ENSDART00000145428	ENSDARG00000045914	si:ch211-51e12.7
ENSDART00000174021	ENSDARG00000045914	si:ch211-51e12.7
ENSDART00000131419	ENSDARG00000045914	si:ch211-51e12.7
ENSDART00000067489	ENSDARG00000045914	si:ch211-51e12.7
ENSDART00000163814	ENSDARG00000100311	si:dkey-165e24.1
ENSDART00000186119	ENSDARG00000100311	si:dkey-165e24.1
ENSDART00000190283	ENSDARG00000100311	si:dkey-165e24.1
ENSDART00000165016	ENSDARG00000100311	si:dkey-165e24.1
ENSDART00000174107	ENSDARG00000105724	si:ch73-158p21.6
ENSDART00000174341	ENSDARG00000105810	si:ch73-158p21.5
ENSDART00000159789	ENSDARG00000104208	zgc:172128
ENSDART00000174020	ENSDARG00000102679	ENSDARG00000102679
ENSDART00000184821	ENSDARG00000102679	ENSDARG00000102679
ENSDART00000174278	ENSDARG00000101883	si:ch1073-398c20.3
ENSDART00000191591	ENSDARG00000101883	si:ch1073-398c20.3
ENSDART00000180424	ENSDARG00000101883	si:ch1073-398c20.3
ENSDART00000169373	ENSDARG00000101883	si:ch1073-398c20.3
ENSDART00000174351	ENSDARG00000100294	zgc:113209
ENSDART00000067160	ENSDARG00000045677	opn1sw1
ENSDART00000159625	ENSDARG00000100578	si:dkeyp-90h9.1
ENSDART00000189576	ENSDARG00000100578	si:dkeyp-90h9.1
ENSDART00000185516	ENSDARG00000100578	si:dkeyp-90h9.1
ENSDART00000189025	ENSDARG00000100578	si:dkeyp-90h9.1
ENSDART00000036779	ENSDARG00000006747	tmem178bb
ENSDART00000182399	ENSDARG00000006747	tmem178bb
ENSDART00000160038	ENSDARG00000104852	si:ch211-142b24.8
ENSDART00000162839	ENSDARG00000104852	si:ch211-142b24.8
ENSDART00000133795	ENSDARG00000094980	si:ch211-9f20.4
ENSDART00000150378	ENSDARG00000094980	si:ch211-9f20.4
ENSDART00000150550	ENSDARG00000094980	si:ch211-9f20.4
ENSDART00000079521	ENSDARG00000056938	kera
ENSDART00000140190	ENSDARG00000056938	kera
ENSDART00000162676	ENSDARG00000100640	si:rp71-42a14.1p
ENSDART00000003420	ENSDARG00000001912	drd4-rs
ENSDART00000169248	ENSDARG00000001912	drd4-rs
ENSDART00000016658	ENSDARG00000014572	chpt1
ENSDART00000134449	ENSDARG00000056950	epyc
ENSDART00000140488	ENSDARG00000056950	epyc
ENSDART00000128932	ENSDARG00000056950	epyc
ENSDART00000079523	ENSDARG00000056950	epyc
ENSDART00000101461	ENSDARG00000056950	epyc
ENSDART00000167842	ENSDARG00000104412	si:dkey-72l17.5
ENSDART00000171924	ENSDARG00000104412	si:dkey-72l17.5
ENSDART00000164722	ENSDARG00000104412	si:dkey-72l17.5
ENSDART00000162521	ENSDARG00000104412	si:dkey-72l17.5
ENSDART00000050753	ENSDARG00000032639	cd36
ENSDART00000163268	ENSDARG00000100632	si:dkey-72l17.1
ENSDART00000110313	ENSDARG00000103346	si:ch211-142b24.6
ENSDART00000049194	ENSDARG00000033296	gpr37b
ENSDART00000135749	ENSDARG00000045878	nudt4b
ENSDART00000188604	ENSDARG00000045878	nudt4b
ENSDART00000168360	ENSDARG00000098519	si:rp71-42a14.2
ENSDART00000125751	ENSDARG00000100164	si:dkey-52l1.1
ENSDART00000174138	ENSDARG00000100164	si:dkey-52l1.1
ENSDART00000164825	ENSDARG00000100164	si:dkey-52l1.1
ENSDART00000163932	ENSDARG00000100164	si:dkey-52l1.1
ENSDART00000050407	ENSDARG00000056954	si:dkeyp-38g8.5
ENSDART00000110144	ENSDARG00000089142	zgc:113119
ENSDART00000160218	ENSDARG00000089142	zgc:113119
ENSDART00000165818	ENSDARG00000099626	si:dkey-22a18.1p
ENSDART00000067433	ENSDARG00000045877	ube2nb
ENSDART00000157938	ENSDARG00000098406	si:dkey-22a18.2
ENSDART00000180146	ENSDARG00000098406	si:dkey-22a18.2
ENSDART00000164709	ENSDARG00000077205	zgc:153116
ENSDART00000174291	ENSDARG00000029105	ftr51
ENSDART00000132323	ENSDARG00000029105	ftr51
ENSDART00000183816	ENSDARG00000029105	ftr51
ENSDART00000189262	ENSDARG00000029105	ftr51
ENSDART00000028016	ENSDARG00000006283	waslb
ENSDART00000099462	ENSDARG00000068701	gpr85
ENSDART00000153870	ENSDARG00000097967	si:dkey-192l17.3
ENSDART00000164406	ENSDARG00000110658	zgc:174696
ENSDART00000100717	ENSDARG00000069292	acot16
ENSDART00000100693	ENSDARG00000069292	acot16
ENSDART00000100714	ENSDARG00000069292	acot16
ENSDART00000164496	ENSDARG00000103441	znf1060
ENSDART00000162361	ENSDARG00000103441	znf1060
ENSDART00000159880	ENSDARG00000101475	si:dkey-72l17.8
ENSDART00000024925	ENSDARG00000045541	gcc1
ENSDART00000143642	ENSDARG00000045542	lamtor4
ENSDART00000167317	ENSDARG00000103675	si:ch211-142b24.5
ENSDART00000066963	ENSDARG00000045543	atp6v1f
ENSDART00000133347	ENSDARG00000045543	atp6v1f
ENSDART00000163798	ENSDARG00000103689	znf1148
ENSDART00000162202	ENSDARG00000103689	znf1148
ENSDART00000162193	ENSDARG00000105173	si:ch211-142b24.2
ENSDART00000150389	ENSDARG00000068705	tmem168a
ENSDART00000184175	ENSDARG00000068705	tmem168a
ENSDART00000138201	ENSDARG00000045680	tnpo3
ENSDART00000144745	ENSDARG00000045680	tnpo3
ENSDART00000187230	ENSDARG00000045680	tnpo3
ENSDART00000067161	ENSDARG00000045680	tnpo3
ENSDART00000025731	ENSDARG00000012435	spic
ENSDART00000128988	ENSDARG00000087438	spi2
ENSDART00000187195	ENSDARG00000087438	spi2
ENSDART00000157014	ENSDARG00000097601	ENSDARG00000097601
ENSDART00000138131	ENSDARG00000094593	si:ch211-234f20.8
ENSDART00000024822	ENSDARG00000016886	dnajb9b
ENSDART00000185502	ENSDARG00000016886	dnajb9b
ENSDART00000164151	ENSDARG00000102008	si:dkey-72l17.6
ENSDART00000158835	ENSDARG00000102008	si:dkey-72l17.6
ENSDART00000124106	ENSDARG00000102008	si:dkey-72l17.6
ENSDART00000141680	ENSDARG00000045560	mybpc1
ENSDART00000143343	ENSDARG00000045560	mybpc1
ENSDART00000134080	ENSDARG00000045560	mybpc1
ENSDART00000024775	ENSDARG00000045560	mybpc1
ENSDART00000151910	ENSDARG00000075731	si:dkey-11l22.1
ENSDART00000109176	ENSDARG00000075731	si:dkey-11l22.1
ENSDART00000158235	ENSDARG00000098522	si:dkeyp-44b5.1p
ENSDART00000022646	ENSDARG00000007639	cnot4b
ENSDART00000145032	ENSDARG00000007639	cnot4b
ENSDART00000058007	ENSDARG00000039681	samm50l
ENSDART00000192357	ENSDARG00000039681	samm50l
ENSDART00000024647	ENSDARG00000011605	dennd6b
ENSDART00000138221	ENSDARG00000045864	lmod2b
ENSDART00000067409	ENSDARG00000045864	lmod2b
ENSDART00000164183	ENSDARG00000113510	si:ch211-59d8.2
ENSDART00000182910	ENSDARG00000113510	si:ch211-59d8.2
ENSDART00000189739	ENSDARG00000113510	si:ch211-59d8.2
ENSDART00000133558	ENSDARG00000109251	si:ch211-129p6.3
ENSDART00000150485	ENSDARG00000063299	pcloa
ENSDART00000143963	ENSDARG00000063299	pcloa
ENSDART00000186577	ENSDARG00000063299	pcloa
ENSDART00000092381	ENSDARG00000063299	pcloa
ENSDART00000191054	ENSDARG00000063299	pcloa
ENSDART00000191584	ENSDARG00000063299	pcloa
ENSDART00000190471	ENSDARG00000063299	pcloa
ENSDART00000170540	ENSDARG00000098390	si:ch211-129p6.2
ENSDART00000163476	ENSDARG00000098390	si:ch211-129p6.2
ENSDART00000170250	ENSDARG00000098390	si:ch211-129p6.2
ENSDART00000171106	ENSDARG00000098390	si:ch211-129p6.2
ENSDART00000172686	ENSDARG00000098390	si:ch211-129p6.2
ENSDART00000159231	ENSDARG00000098390	si:ch211-129p6.2
ENSDART00000162437	ENSDARG00000098390	si:ch211-129p6.2
ENSDART00000160521	ENSDARG00000098390	si:ch211-129p6.2
ENSDART00000111858	ENSDARG00000079391	mrpl42
ENSDART00000149933	ENSDARG00000045913	mrps10
ENSDART00000067488	ENSDARG00000045913	mrps10
ENSDART00000166134	ENSDARG00000098985	si:dkeyp-44b5.3
ENSDART00000171130	ENSDARG00000109740	si:dkeyp-44b5.4
ENSDART00000167561	ENSDARG00000105244	si:dkeyp-44b5.2
ENSDART00000167023	ENSDARG00000101046	si:dkeyp-107f9.1
ENSDART00000164343	ENSDARG00000099145	si:ch211-129p6.5
ENSDART00000168689	ENSDARG00000099145	si:ch211-129p6.5
ENSDART00000140018	ENSDARG00000070015	pimr173
ENSDART00000136981	ENSDARG00000070015	pimr173
ENSDART00000067272	ENSDARG00000070015	pimr173
ENSDART00000150501	ENSDARG00000070015	pimr173
ENSDART00000162279	ENSDARG00000100112	znf1118
ENSDART00000168471	ENSDARG00000100112	znf1118
ENSDART00000166283	ENSDARG00000101447	si:ch211-129p6.4
ENSDART00000152013	ENSDARG00000073915	si:ch211-91b17.1
ENSDART00000183621	ENSDARG00000073915	si:ch211-91b17.1
ENSDART00000143196	ENSDARG00000095293	si:dkey-265e7.1
ENSDART00000193974	ENSDARG00000095293	si:dkey-265e7.1
ENSDART00000188695	ENSDARG00000095293	si:dkey-265e7.1
ENSDART00000146889	ENSDARG00000045863	asb15b
ENSDART00000151889	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000152070	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000169396	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000127211	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000151862	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000145784	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000182527	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000193347	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000192050	ENSDARG00000091746	si:ch211-91b17.4
ENSDART00000036531	ENSDARG00000021647	gnai1
ENSDART00000131357	ENSDARG00000057974	parp12b
ENSDART00000138321	ENSDARG00000057974	parp12b
ENSDART00000166189	ENSDARG00000100995	si:ch211-209j12.5
ENSDART00000165627	ENSDARG00000102994	znf1034
ENSDART00000161702	ENSDARG00000101829	si:dkey-16b10.2
ENSDART00000191413	ENSDARG00000101829	si:dkey-16b10.2
ENSDART00000170981	ENSDARG00000104351	si:dkeyp-107f9.3
ENSDART00000146858	ENSDARG00000063008	si:dkeyp-27e10.3
ENSDART00000150407	ENSDARG00000063008	si:dkeyp-27e10.3
